Entries in the tree: 26492
------> 5 13 265 -1
------> 5 13 266 -1
------> 5 13 267 -1
------> 5 13 268 -1
------> 5 13 269 -1
------> 5 13 270 -1
------> 5 13 271 -1
------> 5 13 272 -1
------> 5 13 273 -1
------> 5 13 274 -1
------> 5 13 275 -1
------> 5 13 276 -1
------> 5 13 277 -1
------> 5 13 278 -1
------> 5 13 279 -1
------> 5 13 280 -1
------> 5 13 281 -1
------> 5 13 282 -1
------> 5 13 283 -1
------> 5 13 284 -1
------> 5 13 285 -1
------> 5 13 286 -1
------> 5 13 287 -1
------> 5 13 288 -1
------> 5 13 289 -1
------> 5 13 290 -1
------> 5 13 291 -1
------> 5 13 292 -1
------> 5 13 293 -1
------> 5 13 294 -1
------> 5 13 295 -1
------> 5 13 296 -1
------> 5 13 297 -1
------> 5 13 298 -1
------> 5 13 299 -1
------> 5 13 300 -1
------> 5 13 301 -1
------> 5 13 302 -1
------> 5 13 303 -1
------> 5 13 304 -1
------> 5 13 305 -1
------> 5 13 306 -1
------> 5 13 307 -1
------> 5 13 308 -1
------> 5 13 309 -1
------> 5 13 310 -1
------> 5 13 311 -1
------> 5 13 312 -1
------> 5 13 313 -1
------> 5 13 314 -1
------> 5 13 315 -1
------> 5 13 316 -1
------> 5 13 317 -1
------> 5 13 318 -1
------> 5 13 319 -1
------> 5 13 320 -1
------> 5 13 321 -1
------> 5 13 322 -1
------> 5 13 323 -1
------> 5 13 324 -1
------> 5 13 325 -1
------> 5 13 326 -1
------> 5 13 327 -1
------> 5 13 328 -1
------> 5 13 329 -1
------> 5 13 330 -1
------> 5 13 331 -1
------> 5 13 332 -1
------> 5 13 333 -1
------> 5 13 334 -1
------> 5 13 335 -1
------> 5 13 336 -1
------> 5 13 337 -1
------> 5 13 338 -1
------> 5 13 339 -1
------> 5 13 340 -1
------> 5 13 341 -1
------> 5 13 342 -1
------> 5 13 343 -1
------> 5 13 344 -1
------> 5 13 345 -1
------> 5 13 346 -1
------> 5 13 347 -1
------> 5 13 348 -1
------> 5 13 349 -1
------> 5 13 350 -1
------> 5 13 351 -1
------> 5 13 352 -1
------> 5 13 353 -1
------> 5 13 354 -1
------> 5 13 355 -1
------> 5 13 356 -1
------> 5 13 357 -1
------> 5 13 358 -1
------> 5 13 359 -1
------> 5 13 360 -1
------> 5 13 361 -1
------> 5 13 362 -1
------> 5 13 363 -1
------> 5 13 364 -1
------> 5 13 365 -1
------> 5 13 366 -1
------> 5 13 367 -1
------> 5 13 368 -1
------> 5 13 369 -1
------> 5 13 370 -1
------> 5 13 371 -1
------> 5 13 372 -1
------> 5 13 373 -1
------> 5 13 374 -1
------> 5 13 375 -1
------> 5 13 376 -1
------> 5 13 377 -1
------> 5 13 378 -1
------> 5 13 379 -1
------> 5 13 380 -1
------> 5 13 381 -1
------> 5 13 382 -1
------> 5 13 383 -1
------> 5 13 384 -1
